Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Seeker_A,Company_E,False,False,Company_E,4
1,Seeker_B,Company_A,False,False,Company_A,1
1,Seeker_C,Company_D,False,False,Company_D,3
1,Seeker_D,Company_C,False,False,Company_C,2
1,Seeker_E,Company_B,False,False,Company_B,5
2,Seeker_A,Company_E,True,False,Company_E,4
2,Seeker_B,Company_B,True,False,Company_B,2
2,Seeker_C,Company_C,True,False,Company_C,2
2,Seeker_D,Company_D,True,False,Company_D,5
2,Seeker_E,Company_A,True,False,Company_A,3
3,Seeker_A,Company_E,False,False,Company_E,4
3,Seeker_B,Unmatched,False,False,Unmatched,-
3,Seeker_C,Company_C,False,False,Company_C,2
3,Seeker_D,Company_B,False,False,Company_B,1
3,Seeker_E,Company_A,False,False,Company_A,3
4,Seeker_A,Company_E,False,True,Company_E,4
4,Seeker_B,Company_A,False,True,Company_A,1
4,Seeker_C,Company_C,False,True,Company_C,2
4,Seeker_D,Company_B,False,True,Company_B,1
4,Seeker_E,Company_D,False,True,Company_D,2
5,Seeker_A,Company_D,False,False,Company_D,5
5,Seeker_B,Company_E,False,False,Company_E,5
5,Seeker_C,Company_B,False,False,Company_B,1
5,Seeker_D,Company_C,False,False,Company_C,2
5,Seeker_E,Company_A,False,False,Company_A,3
6,Seeker_A,Company_E,True,False,Company_E,4
6,Seeker_B,Company_B,True,False,Company_B,2
6,Seeker_C,Company_C,True,False,Company_C,2
6,Seeker_D,Company_A,True,False,Company_A,3
6,Seeker_E,Company_D,True,False,Company_D,2
7,Seeker_A,Company_D,False,False,Company_D,5
7,Seeker_B,Company_E,False,False,Company_E,5
7,Seeker_C,Company_B,False,False,Company_B,1
7,Seeker_D,Company_A,False,False,Company_A,3
7,Seeker_E,Company_C,False,False,Company_C,1
8,Seeker_A,Company_A,False,False,Company_A,3
8,Seeker_B,Company_B,False,False,Company_B,2
8,Seeker_C,Company_D,False,False,Company_D,3
8,Seeker_D,Unmatched,False,False,Unmatched,-
8,Seeker_E,Company_C,False,False,Company_C,1
9,Seeker_A,Company_E,True,False,Company_E,4
9,Seeker_B,Company_B,True,False,Company_B,2
9,Seeker_C,Company_C,True,False,Company_C,2
9,Seeker_D,Company_D,True,False,Company_D,5
9,Seeker_E,Company_A,True,False,Company_A,3
10,Seeker_A,Company_D,False,False,Company_D,5
10,Seeker_B,Company_B,False,False,Company_B,2
10,Seeker_C,Company_E,False,False,Company_E,4
10,Seeker_D,Company_C,False,False,Company_C,2
10,Seeker_E,Company_A,False,False,Company_A,3
11,Seeker_A,Company_E,True,False,Company_E,4
11,Seeker_B,Company_B,True,False,Company_B,2
11,Seeker_C,Company_C,True,False,Company_C,2
11,Seeker_D,Company_A,True,False,Company_A,3
11,Seeker_E,Company_D,True,False,Company_D,2
12,Seeker_A,Company_D,False,False,Company_D,5
12,Seeker_B,Company_A,False,False,Company_A,1
12,Seeker_C,Company_E,False,False,Company_E,4
12,Seeker_D,Company_C,False,False,Company_C,2
12,Seeker_E,Company_B,False,False,Company_B,5
13,Seeker_A,Company_D,False,True,Company_D,5
13,Seeker_B,Company_A,False,True,Company_A,1
13,Seeker_C,Company_B,False,True,Company_B,1
13,Seeker_D,Company_E,False,True,Company_E,4
13,Seeker_E,Company_C,False,True,Company_C,1
14,Seeker_A,Company_E,False,False,Company_E,4
14,Seeker_B,Unmatched,False,False,Unmatched,-
14,Seeker_C,Company_B,False,False,Company_B,1
14,Seeker_D,Company_A,False,False,Company_A,3
14,Seeker_E,Company_C,False,False,Company_C,1
15,Seeker_A,Unmatched,False,False,Unmatched,-
15,Seeker_B,Company_B,False,False,Company_B,2
15,Seeker_C,Company_E,False,False,Company_E,4
15,Seeker_D,Company_A,False,False,Company_A,3
15,Seeker_E,Company_D,False,False,Company_D,2
16,Seeker_A,Company_D,False,False,Company_D,5
16,Seeker_B,Company_E,False,False,Company_E,5
16,Seeker_C,Company_B,False,False,Company_B,1
16,Seeker_D,Company_C,False,False,Company_C,2
16,Seeker_E,Company_A,False,False,Company_A,3
17,Seeker_A,Unmatched,False,False,Unmatched,-
17,Seeker_B,Company_C,False,False,Company_C,3
17,Seeker_C,Company_D,False,False,Company_D,3
17,Seeker_D,Company_A,False,False,Company_A,3
17,Seeker_E,Company_E,False,False,Company_E,4
18,Seeker_A,Company_A,False,False,Company_A,3
18,Seeker_B,Company_B,False,False,Company_B,2
18,Seeker_C,Company_E,False,False,Company_E,4
18,Seeker_D,Company_C,False,False,Company_C,2
18,Seeker_E,Company_D,False,False,Company_D,2
19,Seeker_A,Company_D,False,False,Company_D,5
19,Seeker_B,Company_C,False,False,Company_C,3
19,Seeker_C,Company_E,False,False,Company_E,4
19,Seeker_D,Company_B,False,False,Company_B,1
19,Seeker_E,Company_A,False,False,Company_A,3
20,Seeker_A,Company_E,True,False,Company_E,4
20,Seeker_B,Company_B,True,False,Company_B,2
20,Seeker_C,Company_C,True,False,Company_C,2
20,Seeker_D,Company_D,True,False,Company_D,5
20,Seeker_E,Company_A,True,False,Company_A,3
21,Seeker_A,Company_A,False,False,Company_A,3
21,Seeker_B,Company_C,False,False,Company_C,3
21,Seeker_C,Company_B,False,False,Company_B,1
21,Seeker_D,Company_D,False,False,Company_D,5
21,Seeker_E,Company_E,False,False,Company_E,4
22,Seeker_A,Company_E,False,False,Company_E,4
22,Seeker_B,Company_D,False,False,Company_D,4
22,Seeker_C,Company_B,False,False,Company_B,1
22,Seeker_D,Company_C,False,False,Company_C,2
22,Seeker_E,Company_A,False,False,Company_A,3
23,Seeker_A,Unmatched,False,False,Unmatched,-
23,Seeker_B,Company_E,False,False,Company_E,5
23,Seeker_C,Company_C,False,False,Company_C,2
23,Seeker_D,Company_A,False,False,Company_A,3
23,Seeker_E,Company_D,False,False,Company_D,2
24,Seeker_A,Company_D,False,False,Company_D,5
24,Seeker_B,Company_B,False,False,Company_B,2
24,Seeker_C,Company_E,False,False,Company_E,4
24,Seeker_D,Company_C,False,False,Company_C,2
24,Seeker_E,Company_A,False,False,Company_A,3
25,Seeker_A,Company_D,False,False,Company_D,5
25,Seeker_B,Company_C,False,False,Company_C,3
25,Seeker_C,Company_B,False,False,Company_B,1
25,Seeker_D,Unmatched,False,False,Unmatched,-
25,Seeker_E,Company_A,False,False,Company_A,3
26,Seeker_A,Company_A,False,False,Company_A,3
26,Seeker_B,Company_C,False,False,Company_C,3
26,Seeker_C,Company_B,False,False,Company_B,1
26,Seeker_D,Company_E,False,False,Company_E,4
26,Seeker_E,Company_D,False,False,Company_D,2
27,Seeker_A,Company_E,False,False,Company_E,4
27,Seeker_B,Company_B,False,False,Company_B,2
27,Seeker_C,Company_A,False,False,Company_A,5
27,Seeker_D,Company_C,False,False,Company_C,2
27,Seeker_E,Company_D,False,False,Company_D,2
28,Seeker_A,Company_E,True,False,Company_E,4
28,Seeker_B,Company_B,True,False,Company_B,2
28,Seeker_C,Company_C,True,False,Company_C,2
28,Seeker_D,Company_A,True,False,Company_A,3
28,Seeker_E,Company_D,True,False,Company_D,2
29,Seeker_A,Company_D,False,False,Company_D,5
29,Seeker_B,Company_C,False,False,Company_C,3
29,Seeker_C,Company_B,False,False,Company_B,1
29,Seeker_D,Company_A,False,False,Company_A,3
29,Seeker_E,Company_E,False,False,Company_E,4
30,Seeker_A,Company_E,False,False,Company_E,4
30,Seeker_B,Company_C,False,False,Company_C,3
30,Seeker_C,Company_D,False,False,Company_D,3
30,Seeker_D,Company_A,False,False,Company_A,3
30,Seeker_E,Company_B,False,False,Company_B,5
31,Seeker_A,Company_D,False,False,Company_D,5
31,Seeker_B,Company_E,False,False,Company_E,5
31,Seeker_C,Company_C,False,False,Company_C,2
31,Seeker_D,Company_B,False,False,Company_B,1
31,Seeker_E,Company_A,False,False,Company_A,3
32,Seeker_A,Company_D,False,False,Company_D,5
32,Seeker_B,Company_E,False,False,Company_E,5
32,Seeker_C,Company_B,False,False,Company_B,1
32,Seeker_D,Company_C,False,False,Company_C,2
32,Seeker_E,Company_A,False,False,Company_A,3
33,Seeker_A,Company_B,False,True,Company_B,1
33,Seeker_B,Company_A,False,True,Company_A,1
33,Seeker_C,Company_D,False,True,Company_D,3
33,Seeker_D,Company_C,False,True,Company_C,2
33,Seeker_E,Company_E,False,True,Company_E,4
34,Seeker_A,Company_A,False,False,Company_A,3
34,Seeker_B,Company_B,False,False,Company_B,2
34,Seeker_C,Company_D,False,False,Company_D,3
34,Seeker_D,Company_E,False,False,Company_E,4
34,Seeker_E,Company_C,False,False,Company_C,1
35,Seeker_A,Company_E,False,False,Company_E,4
35,Seeker_B,Company_B,False,False,Company_B,2
35,Seeker_C,Unmatched,False,False,Unmatched,-
35,Seeker_D,Company_A,False,False,Company_A,3
35,Seeker_E,Company_C,False,False,Company_C,1
36,Seeker_A,Company_E,False,True,Company_E,4
36,Seeker_B,Company_A,False,True,Company_A,1
36,Seeker_C,Company_D,False,True,Company_D,3
36,Seeker_D,Company_B,False,True,Company_B,1
36,Seeker_E,Company_C,False,True,Company_C,1
37,Seeker_A,Company_A,False,False,Company_A,3
37,Seeker_B,Company_B,False,False,Company_B,2
